id_match,team_team_abbrev_name,distancia
104279,SBB,4.3401318761072085
104280,UCM,4.187674796394103
104280,VBC,4.784777480362781
104281,BAX,3.90963473522458
104281,CAZ,3.913412116370132
104282,COV,4.293225410628951
104282,LLT,3.7896285381046564
104283,COR,4.73308546335015
104283,UNI,4.8881443164722445
104284,BKN,4.467036541708488
104284,GIR,5.441270765605315
104285,BAR,4.360754959824954
104285,RMB,4.375206873444094
104286,BRE,5.586696852464505
104286,GIR,5.3260322652302685
104287,CAZ,5.2705917253745875
104287,COR,4.438457056118096
104288,BKN,3.2009890077291474
104288,UCM,3.5118867318160953
104289,DGC,4.926665210779431
104289,HIO,3.87815482323616
104290,BAX,4.621693872470026
104290,JOV,4.037080456819711
104291,LLT,4.341458540997084
104291,RMB,3.6633357921194123
104292,BAR,3.8117103868225595
104292,COV,3.6967331565417654
104293,MBA,4.620307225015071
104293,SBB,4.886795568956394
104294,UNI,4.325164505474752
104294,VBC,4.471243595175564
104295,BAX,3.8753407475238735
104295,GIR,4.510325483807315
104296,SBB,3.928884479081788
104296,UNI,4.233558612309329
104297,COR,4.085930524203618
104297,COV,4.21503254693672
104298,JOV,3.5159923226831213
104298,UCM,3.704430557488349
104299,MBA,3.887440645581772
104299,RMB,4.629083834991537
104300,HIO,3.923536461274054
104300,VBC,4.479278134817714
104301,BKN,4.930180246394349
104301,LLT,5.325968524920286
104302,BRE,5.469805732845251
104302,CAZ,4.427942356925035
104303,BAR,4.616635995731777
104303,DGC,4.623427556197818
104304,CAZ,4.395388938888179
104304,DGC,4.971424793327178
104305,BAX,4.9829096340906505
104305,COV,3.8046700041672508
104306,BRE,3.5973547640106536
104306,JOV,3.4789105092266683
104307,COR,4.604965890106478
104307,LLT,5.484010841641206
104308,GIR,5.058917348933022
104308,RMB,4.949108560613731
104309,BKN,3.6422374487427476
104309,VBC,4.18174986740353
104310,HIO,4.353944258671785
104310,MBA,4.116948848912436
104311,SBB,5.0677376738699245
104311,UCM,3.557292017199858
104312,BAR,4.472615569016452
104312,UNI,4.895349796873383
104313,JOV,4.396264219679674
104313,SBB,4.743451811920737
104314,BKN,4.392142502037465
104314,CAZ,5.147151188796858
104315,BAX,3.726192764820812
104315,BRE,4.661625517902848
104316,COV,4.750858546878218
104316,DGC,4.585018588306145
104317,GIR,4.382560399522565
104317,LLT,5.649460078969852
104318,MBA,4.6428944127548375
104318,UNI,4.241256010405482
104319,HIO,4.1199268043882356
104319,UCM,4.9657864383189905
104320,BAR,5.174406117148465
104320,COR,4.612489521894781
104321,RMB,3.7604191568210363
104321,VBC,4.3865705303000215
104322,COR,4.575443901752902
104322,SBB,5.67393180777369
104323,GIR,4.940708867287756
104323,MBA,4.235099506276013
104324,DGC,4.538719846958915
104324,VBC,4.5922008981119395
104325,BKN,4.336924140314859
104325,JOV,4.0027919921525665
104326,CAZ,3.9133773548900526
104326,COV,4.447313794305644
104327,LLT,4.066047746595523
104327,UNI,4.3344394832796125
104328,BAR,4.44935720502064
104328,HIO,3.6874084330999537
104329,BAX,3.667390796795288
104329,UCM,3.423692689145996
104330,BRE,4.729063931730307
104330,RMB,4.289878522009072
104331,COR,3.981892963106892
104331,MBA,4.93924770357492
104332,BRE,4.907650319976654
104332,COV,3.9683203776675127
104333,DGC,4.487020136414309
104333,JOV,4.7413094435333285
104334,GIR,4.477547017074002
104334,VBC,4.782421619155751
104335,BAX,4.884319673008516
104335,RMB,3.677149644346896
104336,UCM,5.4358051344103195
104336,UNI,4.9622771987957845
104337,CAZ,4.290295277295327
104337,SBB,4.682568361298822
104338,HIO,4.3770644380446795
104338,LLT,5.232143053771845
104339,BAR,5.173994040765983
104339,BKN,4.216701830814804
104340,CAZ,4.5017514126794955
104340,JOV,4.796564029067054
104341,BAX,4.753880367512295
104341,MBA,3.9662152430746422
104342,BKN,3.6265194821086024
104342,SBB,4.1293823013753395
104343,COR,3.7622385601990613
104343,UCM,4.639310304360624
104344,HIO,4.2419354675526595
104344,UNI,4.226005654803378
104345,LLT,4.74441442948286
104345,VBC,4.376076941856185
104346,BRE,4.585897744800596
104346,DGC,4.276300724991461
104347,BAR,5.602377069605102
104347,GIR,5.60734676705677
104348,COV,4.591155009556631
104348,RMB,2.792609058221217
104349,DGC,4.1087735785911095
104349,UCM,4.374074919330452
104350,GIR,5.585698964731491
104350,HIO,4.123037232316543
104351,CAZ,3.6451601686275703
104351,RMB,4.7306391151369
104352,BAR,4.517745916424905
104352,SBB,4.51117946216784
104353,BAX,4.256536814168389
104353,LLT,4.246078319931885
104354,BKN,4.78192545770165
104354,COR,4.226939952340868
104355,JOV,4.465767525866983
104355,UNI,4.076982716349028
104356,COV,4.846665013509107
104356,MBA,4.658842659951909
104357,BRE,4.082445025823908
104357,VBC,5.053202923605421
104432,BKN,4.389046562592707
104432,RMB,4.785107914982684
104433,BAR,4.8267550134855695
104433,UNI,4.51676644595307
104434,BAR,3.7870143008093793
104434,UNI,4.048125056755457
104435,BKN,5.101602162526646
104435,RMB,4.524154950816732
104436,DGC,3.6248349928837738
